No.,Species,Year,Asset,Surface,Euphotic_zone,Remark
1,Actinoptychus undulatus,2022,GBS,1,13,Mock Up Data
2,Alexandrium sp.,2022,GBS,6,2,
3,Amphisolenia bidentata,2022,GBS,1,0,
4,Amphora sp. ,2022,GBS,2,41,
5,Asterionellopsis sp.,2022,GBS,0,2,
6,Bacillaria paxillifera,2022,GBS,0,10,
7,Bacteriastrum sp.,2022,GBS,13,7,
8,Bellerochea sp.,2022,GBS,2,7,
9,Bidduphia sp.,2022,GBS,0,0,
10,Campylodiscus sp.,2022,GBS,2,7,
11,C. concinnus,2022,GBS,0,36,
12,Centronella sp.,2022,GBS,1,1,
13,Ceratium tripo,2022,GBS,85,69,
14,C. excentricu,2022,GBS,37,360,
15,C. furca,2022,GBS,85,25,
16,C. fusus,2022,GBS,9,2,
17,Chaetoceros sp.,2022,GBS,26,92,
18,C. laciniosum,2022,GBS,12,23,
19,Closterium sp.,2022,GBS,0,0,
20,Corethron sp.,2022,GBS,1,10,
21,Corythodinium sp.,2022,GBS,18,26,
22,Coscinodiscus gigas ,2022,GBS,41,538,
23,Cyclotella sp.,2022,GBS,9,145,
24,Cylindrotheca sp.,2022,GBS,0,12,
25,Cymatosira sp.,2022,GBS,0,0,
26,Dactyliosolen sp.,2022,GBS,8,76,
27,D. fibula,2022,GBS,1,18,
28,Dictyocha octonaria,2022,GBS,1,60,
29,Dinophysis caudata,2022,GBS,1,3,
30,Diploneis sp.,2022,GBS,1,10,
31,Ditylum brightwellii,2022,GBS,0,21,
32,Entomoneis sp. ,2022,GBS,0,23,
33,Eucampia sp.,2022,GBS,1,0,
34,Gonyaulax sp.,2022,GBS,39,32,
35,Guinadia sp.,2022,GBS,1,20,
36,Gyrosigma sp.,2022,GBS,7,60,
37,Helicotheca tamesis,2022,GBS,1,33,
38,Hemiaulus sinensis,2022,GBS,197,26,
39,Lauderia sp.,2022,GBS,7,36,
40,Lyrella sp.,2022,GBS,0,0,
41,Melosira sp.,2022,GBS,2,17,
42,Meunier sp.,2022,GBS,0,0,
43,Navicula sp.,2022,GBS,7,49,
44,Nitzchia sp.,2022,GBS,4,7,
45,Odontella sinensis,2022,GBS,1,9,
46,O. mobiliensis,2022,GBS,1,1,
47,Ornithocercus sp.,2022,GBS,4,11,
48,Oscillatoria sp.,2022,GBS,26,17,
49,Oxytoxum sp. ,2022,GBS,9,15,
50, Palmeria sp.,2022,GBS,0,2,
51,Paralia sp.,2022,GBS,0,13,
52,P. blanda,2022,GBS,1,28,
53,Pediastrum sp.,2022,GBS,0,0,
54,Planktoniella sol,2022,GBS,4,20,
55,Plurosigma sp.,2022,GBS,10,57,
56,Podolampas bipes,2022,GBS,8,11,
57,Prorocentrum  micans,2022,GBS,12,9,
58,Prorocentrum sp (1),2022,GBS,59,72,
59,Protoperdinium sp. (1),2022,GBS,33,37,
60,Protoperidinium  depressum,2022,GBS,6,7,
61,Pseudonitzchia sp.,2022,GBS,3,0,
62,Pyrophacus sp.,2022,GBS,0,1,
63,Rhizosolenia sp.(1),2022,GBS,9,4,
64,R. imbricate,2022,GBS,147,54,
65,R. robusta,2022,GBS,7,7,
66,Staurastrum sp.,2022,GBS,0,0,
67,Surirella sp.,2022,GBS,7,67,
68,Thalassionema frauenfeldii,2022,GBS,76,784,
69,Thalassiosira sp.,2022,GBS,88,155,
70,Thalassiothrix sp.,2022,GBS,3,0,
71,T. nitzschioides,2022,GBS,23,246,
72,Trachyneis sp.,2022,GBS,0,0,
73,Triceratium sp.,2022,GBS,0,0,
74,Volvox sp.,2022,GBS,1,23,
75,Actinoptychus undulatus,2019,GBS,1,13,
76,Alexandrium sp.,2019,GBS,6,2,
77,Amphisolenia bidentata,2019,GBS,1,0,
78,Amphora sp. ,2019,GBS,2,41,
79,Asterionellopsis sp.,2019,GBS,0,2,
80,Bacillaria paxillifera,2019,GBS,0,10,
81,Bacteriastrum sp.,2019,GBS,13,7,
82,Bellerochea sp.,2019,GBS,2,7,
83,Bidduphia sp.,2019,GBS,0,0,
84,Campylodiscus sp.,2019,GBS,2,7,
85,C. concinnus,2019,GBS,0,36,
86,Centronella sp.,2019,GBS,1,1,
87,Ceratium tripo,2019,GBS,85,69,
88,C. excentricu,2019,GBS,37,360,
89,C. furca,2019,GBS,85,25,
90,C. fusus,2019,GBS,9,2,
91,Chaetoceros sp.,2019,GBS,26,92,
92,C. laciniosum,2019,GBS,12,23,
93,Closterium sp.,2019,GBS,0,0,
94,Corethron sp.,2019,GBS,1,10,
95,Corythodinium sp.,2019,GBS,18,26,
96,Coscinodiscus gigas ,2019,GBS,41,538,
97,Cyclotella sp.,2019,GBS,9,145,
98,Cylindrotheca sp.,2019,GBS,0,12,
99,Cymatosira sp.,2019,GBS,0,0,
100,Dactyliosolen sp.,2019,GBS,8,76,
101,D. fibula,2019,GBS,1,18,
102,Dictyocha octonaria,2019,GBS,1,60,
103,Dinophysis caudata,2019,GBS,1,3,
104,Diploneis sp.,2019,GBS,1,10,
105,Ditylum brightwellii,2019,GBS,0,21,
106,Entomoneis sp. ,2019,GBS,0,23,
107,Eucampia sp.,2019,GBS,1,0,
108,Gonyaulax sp.,2019,GBS,39,32,
109,Guinadia sp.,2019,GBS,1,20,
110,Gyrosigma sp.,2019,GBS,7,60,
111,Helicotheca tamesis,2019,GBS,1,33,
112,Hemiaulus sinensis,2019,GBS,197,26,
113,Lauderia sp.,2019,GBS,7,36,
114,Lyrella sp.,2019,GBS,0,0,
115,Melosira sp.,2019,GBS,2,17,
116,Meunier sp.,2019,GBS,0,0,
117,Navicula sp.,2019,GBS,7,49,
118,Nitzchia sp.,2019,GBS,4,7,
119,Odontella sinensis,2019,GBS,1,9,
120,O. mobiliensis,2019,GBS,1,1,
121,Ornithocercus sp.,2019,GBS,4,11,
122,Oscillatoria sp.,2019,GBS,26,17,
123,Oxytoxum sp. ,2019,GBS,9,15,
124, Palmeria sp.,2019,GBS,0,2,
125,Paralia sp.,2019,GBS,0,13,
126,P. blanda,2019,GBS,1,28,
127,Pediastrum sp.,2019,GBS,0,0,
128,Planktoniella sol,2019,GBS,4,20,
129,Plurosigma sp.,2019,GBS,10,57,
130,Podolampas bipes,2019,GBS,8,11,
131,Prorocentrum  micans,2019,GBS,12,9,
132,Prorocentrum sp (1),2019,GBS,59,72,
133,Protoperdinium sp. (1),2019,GBS,33,37,
134,Protoperidinium  depressum,2019,GBS,6,7,
135,Pseudonitzchia sp.,2019,GBS,3,0,
136,Pyrophacus sp.,2019,GBS,0,1,
137,Rhizosolenia sp.(1),2019,GBS,9,4,
138,R. imbricate,2019,GBS,147,54,
139,R. robusta,2019,GBS,7,7,
140,Staurastrum sp.,2019,GBS,0,0,
141,Surirella sp.,2019,GBS,7,67,
142,Thalassionema frauenfeldii,2019,GBS,76,784,
143,Thalassiosira sp.,2019,GBS,88,155,
144,Thalassiothrix sp.,2019,GBS,3,0,
145,T. nitzschioides,2019,GBS,23,246,
146,Trachyneis sp.,2019,GBS,0,0,
147,Triceratium sp.,2019,GBS,0,0,
148,Volvox sp.,2019,GBS,1,23,
