Asset,Platform,Station,Latitude,Longitude
GBS,PPS,PPS1,55.555,55.555
GBS,PPS,PPS2,55.555,55.555
GBS,PPS,PPS3,55.555,55.555
ART,APP,APP1,55.555,55.555
ART,APP,APP2,55.555,55.555
ART,APP,APP3,55.555,55.555
GBN,PP,PP1,55.555,55.555
GBN,PP,PP2,55.555,55.555
GBN,PP,PP3,55.555,55.555
GBS,WPS6,WPS6-1,55.555,55.555
GBS,WPS6,WPS6-2,55.555,55.555
GBS,WPS6,WPS6-3,55.555,55.555
ART,AWP1N,AWP1N-1,55.555,55.555
ART,AWP1N,AWP1N-2,55.555,55.555
ART,AWP1N,AWP1N-3,55.555,55.555
GBN,WP37,WP37-1,55.555,55.555
GBN,WP37,WP37-2,55.555,55.555
GBN,WP37,WP37-3,55.555,55.555
Ref_in,Ref_in,Ref_in,55.555,55.555
Losin,Losin,Losin1,55.555,55.555
Losin,Losin,Losin2,55.555,55.555
Losin,Losin,Losin3,55.555,55.555
Ref_Losin,Ref_Losin,Ref_Losin,55.555,55.555
