Year,Project,PlatformAge (y),Platform,Station,Latitude,Longtitude,SamplingDate,InstallationDate,Depth,MethodOfCollection,IdentifiationTechnique,major group,kingdom,subkingdom,infrakingdom,superphylum,phylum,subphylum,Unaccepted subphylum,infraphylum,Unaccepted Infraphylum,superclass,Unaccepted Superclass,class,Unaccepted Class,subclass,Unaccepted Subclass,infraclass,superorder,Unaccepted Superorder,order,Unaccepted Order,suborder,infraorder,superfamily,family,Unaccepted Family,subfamily,supergenus,subgenus,genus,Unaccepted Genus,species name,Unaccepted Species,subspecies name,Unaccepted subSpecies,picture,ThaiName,Density,No_of_species,Diversity_index,pi,ln(pi),pi*ln(pi)
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Bacillariophycanae ,,Achnanthales ,,-,-,-,Cocconeidaceae,,-,-,-,Cocconeis ,,Cocconeis sp.1,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Bacillariophycanae ,,Achnanthales ,,-,-,-,Cocconeidaceae,,-,-,-,Cocconeis ,,Cocconeis sp.2,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Coscinodiscanae,,Asterolamprales ,,-,-,-,Asterolampraceae,,-,-,-,Asterolampra ,,Asterolampra marylandica,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Coscinodiscanae,,Asterolamprales ,,-,-,-,Asterolampraceae,,-,-,-,Asterolampra ,,Asterolampra sp.1,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Coscinodiscanae,,Asterolamprales,,-,-,-,Asterolampraceae,,-,-,-,Asteromphalus ,,Asteromphalus cleveanus,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Coscinodiscanae,,Asterolamprales,,-,-,-,Asterolampraceae,,-,-,-,Asteromphalus ,,Asteromphalus elegans,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Coscinodiscanae,,Asterolamprales,,-,-,-,Asterolampraceae,,-,-,-,Asteromphalus ,,Asteromphalus flabellatus,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Coscinodiscanae,,Asterolamprales,,-,-,-,Asterolampraceae,,-,-,-,Asteromphalus ,,Asteromphalus sp.1,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Coscinodiscanae,,Asterolamprales,,-,-,-,Asterolampraceae,,-,-,-,Asteromphalus ,,Asteromphalus sp.2,,-,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta,Khakista,,-,,-,,Bacillariophyceae,,Coscinodiscophycidae,,-,Coscinodiscanae,,Asterolamprales,,-,-,-,Asterolampraceae,,-,-,-,Asteromphalus ,,Asteromphalus sp.3,,-,,,,,,,,,
