Year,Project,PlatformAge (y),Platform,Station,Latitude,Longtitude,SamplingDate,InstallationDate,Depth,MethodOfCollection,IdentifiationTechnique,major group,kingdom,xsubkingdom,xinfrakingdom,xsuperphylum,phylum,xsubphylum,xUnaccepted subphylum,xinfraphylum,xUnaccepted Infraphylum,xsuperclass,xUnaccepted Superclass,class,Unaccepted Class,xsubclass,xUnaccepted Subclass,xinfraclass,xsuperorder,xUnaccepted Superorder,order,Unaccepted Order,xsuborder,xinfraorder,xsuperfamily,family,Unaccepted Family,xsubfamily,xsupergenus,xsubgenus,genus,Unaccepted Genus,species name,Unaccepted Species,subspecies name,Unaccepted subSpecies,picture,ThaiName,Density,No_of_species,Diversity_index,pi,ln(pi),pi*ln(pi)
,,,,,,,,,,,,Phytoplankton,Bacteria,Gracilicutes,-,-,Cyanobacteria ,-,-,-,-,-,-,Cyanophyceae ,-,Oscillatoriophycideae,-,-,-,-,Oscillatoriales,-,-,-,-,Oscillatoriaceae,-,-,-,-,Oscillatoria,-,Oscillatoria sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Bacteria,Gracilicutes,-,-,Cyanobacteria ,-,-,-,-,-,-,Cyanophyceae,-,Nostocophycideae,-,-,-,-,Nostocales,-,-,-,-,Nostocaceae,-,-,-,-,Anabeana,-,Anabeana sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Plantae,Viridiplantae,-,-,Chlorophyta,Chlorophytina,-,-,-,-,-,Chlorophyceae,-,-,-,-,-,-,Sphaeropleales,-,-,-,-,Hydrodictyaceae,-,-,-,-,Pediastrum ,-,Pediastrum sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Plantae,Viridiplantae,-,-,Chlorophyta,Chlorophytina,-,-,-,-,-,Chlorophyceae,-,-,-,-,-,-,Chlamydomonadales,-,-,-,-,Volvocaceae,-,-,-,-,Volvox,-,Volvox sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Plantae,Viridiplantae,Streptophyta,-,Charophyta,Chlorophytina,-,-,-,-,-,Conjugatophyceae,no,-,-,-,-,-,Desmidiales,-,-,-,-,Desmidiaceae,-,-,-,-,Staurastrum,-,Staurastrum sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Plantae,Viridiplantae,Streptophyta,-,Charophyta,-,-,-,-,-,-,Conjugatophyceae,no,-,-,-,-,-,Desmidiales,-,-,-,-,Desmidiaceae,-,-,-,-,Closterium,-,Closterium sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Thalassiosiranae ,no,Thalassiosirales ,no,-,-,-,Stephanodiscaceae ,no,-,-,-,Cyclotella,-,Cyclotella sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Thalassiosiranae ,no,Thalassiosirales ,no,-,-,-,Lauderiaceae,no,-,-,-,Lauderia,no,Lauderia sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Thalassiosiranae ,no,Thalassiosirales ,no,-,-,-,Thalassiosiraceae,-,-,-,-,Thalassiosira ,-,Thalassiosira sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Thalassiosiranae ,no,Thalassiosirales ,no,-,-,-,Thalassiosiraceae,-,-,-,-,Planktoniella,no,Planktoniella sol,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Thalassiosiranae ,no,Thalassiosirales ,no,-,-,-,Thalassiosiraceae,-,-,-,-,Planktoniella,no,Planktoniella blanda,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Coscinodiscanae,no,Paraliales ,no,-,-,-,Paraliaceae,no,-,-,-,Paralia,no,Paralia sp.,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Corethranae,no,Corethrales,no,-,-,-,Corethraceae,no,-,-,-,Corethron,no,Corethron sp.,no,,,,,,,,,,
