No.,Species,Year,Asset,Platform,Station,Surface,Euphotic_zone
1,Oscillatoria sp.,2022,GBS,PPS,PPS1,9,3
2,Anabeana sp.,2022,GBS,PPS,PPS1,0,0
3,Pediastrum sp.,2022,GBS,PPS,PPS1,0,0
4,Volvox sp.,2022,GBS,PPS,PPS1,1,13
5,Staurastrum sp.,2022,GBS,PPS,PPS1,0,0
6,Closterium sp.,2022,GBS,PPS,PPS1,0,0
7,Cyclotella sp.,2022,GBS,PPS,PPS1,0,85
8,Lauderia sp.,2022,GBS,PPS,PPS1,7,29
9,Thalassiosira sp.,2022,GBS,PPS,PPS1,33,92
10,Planktoniella sol,2022,GBS,PPS,PPS1,3,10
11,P. blanda,2022,GBS,PPS,PPS1,0,18
12,Paralia sp.,2022,GBS,PPS,PPS1,0,11
13,Corethron sp.,2022,GBS,PPS,PPS1,1,2
14,Melosira sp.,2022,GBS,PPS,PPS1,0,17
15,Coscinodiscus gigas ,2022,GBS,PPS,PPS1,31,259
16,C. excentricu,2022,GBS,PPS,PPS1,12,32
17,C. concinnus,2022,GBS,PPS,PPS1,0,11
18,Actinoptychus undulatus,2022,GBS,PPS,PPS1,1,3
19,Asteromphalus sp.,2022,GBS,PPS,PPS1,0,0
20, Palmeria sp.,2022,GBS,PPS,PPS1,0,0
21,Guinadia sp.,2022,GBS,PPS,PPS1,1,15
22,Dactyliosolen sp.,2022,GBS,PPS,PPS1,5,60
23,Rhizosolenia sp.(1),2022,GBS,PPS,PPS1,5,3
24,R. imbricate,2022,GBS,PPS,PPS1,54,24
25,R. robusta,2022,GBS,PPS,PPS1,0,5
26,Bacteriastrum sp.,2022,GBS,PPS,PPS1,6,1
27,Chaetoceros sp.,2022,GBS,PPS,PPS1,11,46
28,C. laciniosum,2022,GBS,PPS,PPS1,6,19
29,Bellerochea sp.,2022,GBS,PPS,PPS1,2,0
30,Ditylum brightwellii,2022,GBS,PPS,PPS1,0,20
31,Eucampia sp.,2022,GBS,PPS,PPS1,1,0
32,Hemiaulus sinensis,2022,GBS,PPS,PPS1,61,1
33,Cymatosira sp.,2022,GBS,PPS,PPS1,0,0
34,Helicotheca tamesis,2022,GBS,PPS,PPS1,1,33
35,Odontella sinensis,2022,GBS,PPS,PPS1,1,3
36,O. mobiliensis,2022,GBS,PPS,PPS1,1,1
37,Bidduphia sp.,2022,GBS,PPS,PPS1,0,0
38,Triceratium sp.,2022,GBS,PPS,PPS1,0,0
39,Asterionellopsis sp.,2022,GBS,PPS,PPS1,0,0
40,Centronella sp.,2022,GBS,PPS,PPS1,1,1
41,Thalassionema frauenfeldii,2022,GBS,PPS,PPS1,27,519
