No.,Species,Year,Asset,Platform,Surface,Euphotic_zone,Remark
1,Actinoptychus undulatus,2022,GBS,PPS,1,13,Mock Up Data
2,Alexandrium sp.,2022,GBS,PPS,6,2,
3,Amphisolenia bidentata,2022,GBS,PPS,1,0,
4,Amphora sp. ,2022,GBS,PPS,2,41,
5,Asterionellopsis sp.,2022,GBS,PPS,0,2,
6,Bacillaria paxillifera,2022,GBS,PPS,0,10,
7,Bacteriastrum sp.,2022,GBS,PPS,13,7,
8,Bellerochea sp.,2022,GBS,PPS,2,7,
9,Bidduphia sp.,2022,GBS,PPS,0,0,
10,Campylodiscus sp.,2022,GBS,PPS,2,7,
11,C. concinnus,2022,GBS,PPS,0,36,
12,Centronella sp.,2022,GBS,PPS,1,1,
13,Ceratium tripo,2022,GBS,PPS,85,69,
14,C. excentricu,2022,GBS,PPS,37,360,
15,C. furca,2022,GBS,PPS,85,25,
16,C. fusus,2022,GBS,PPS,9,2,
17,Chaetoceros sp.,2022,GBS,PPS,26,92,
18,C. laciniosum,2022,GBS,PPS,12,23,
19,Closterium sp.,2022,GBS,PPS,0,0,
20,Corethron sp.,2022,GBS,PPS,1,10,
21,Corythodinium sp.,2022,GBS,PPS,18,26,
22,Coscinodiscus gigas ,2022,GBS,PPS,41,538,
23,Cyclotella sp.,2022,GBS,PPS,9,145,
24,Cylindrotheca sp.,2022,GBS,PPS,0,12,
25,Cymatosira sp.,2022,GBS,PPS,0,0,
26,Dactyliosolen sp.,2022,GBS,PPS,8,76,
27,D. fibula,2022,GBS,PPS,1,18,
28,Dictyocha octonaria,2022,GBS,PPS,1,60,
29,Dinophysis caudata,2022,GBS,PPS,1,3,
30,Diploneis sp.,2022,GBS,PPS,1,10,
31,Ditylum brightwellii,2022,GBS,PPS,0,21,
32,Entomoneis sp. ,2022,GBS,PPS,0,23,
33,Eucampia sp.,2022,GBS,PPS,1,0,
34,Gonyaulax sp.,2022,GBS,PPS,39,32,
35,Guinadia sp.,2022,GBS,PPS,1,20,
36,Gyrosigma sp.,2022,GBS,PPS,7,60,
37,Helicotheca tamesis,2022,GBS,PPS,1,33,
38,Hemiaulus sinensis,2022,GBS,PPS,197,26,
39,Lauderia sp.,2022,GBS,PPS,7,36,
40,Lyrella sp.,2022,GBS,PPS,0,0,
41,Melosira sp.,2022,GBS,PPS,2,17,
42,Meunier sp.,2022,GBS,PPS,0,0,
43,Navicula sp.,2022,GBS,PPS,7,49,
44,Nitzchia sp.,2022,GBS,PPS,4,7,
45,Odontella sinensis,2022,GBS,PPS,1,9,
46,O. mobiliensis,2022,GBS,PPS,1,1,
47,Ornithocercus sp.,2022,GBS,PPS,4,11,
48,Oscillatoria sp.,2022,GBS,PPS,26,17,
49,Oxytoxum sp. ,2022,GBS,PPS,9,15,
50, Palmeria sp.,2022,GBS,PPS,0,2,
51,Paralia sp.,2022,GBS,PPS,0,13,
52,P. blanda,2022,GBS,PPS,1,28,
53,Pediastrum sp.,2022,GBS,PPS,0,0,
54,Planktoniella sol,2022,GBS,PPS,4,20,
55,Plurosigma sp.,2022,GBS,PPS,10,57,
56,Podolampas bipes,2022,GBS,PPS,8,11,
57,Prorocentrum  micans,2022,GBS,PPS,12,9,
58,Prorocentrum sp (1),2022,GBS,PPS,59,72,
59,Protoperdinium sp. (1),2022,GBS,PPS,33,37,
60,Protoperidinium  depressum,2022,GBS,PPS,6,7,
61,Pseudonitzchia sp.,2022,GBS,PPS,3,0,
62,Pyrophacus sp.,2022,GBS,PPS,0,1,
63,Rhizosolenia sp.(1),2022,GBS,PPS,9,4,
64,R. imbricate,2022,GBS,PPS,147,54,
65,R. robusta,2022,GBS,PPS,7,7,
66,Staurastrum sp.,2022,GBS,PPS,0,0,
67,Surirella sp.,2022,GBS,PPS,7,67,
68,Thalassionema frauenfeldii,2022,GBS,PPS,76,784,
69,Thalassiosira sp.,2022,GBS,PPS,88,155,
70,Thalassiothrix sp.,2022,GBS,PPS,3,0,
71,T. nitzschioides,2022,GBS,PPS,23,246,
72,Trachyneis sp.,2022,GBS,PPS,0,0,
73,Triceratium sp.,2022,GBS,PPS,0,0,
74,Volvox sp.,2022,GBS,PPS,1,23,
