major group,kingdom,subkingdom,infrakingdom,superphylum,phylum,subphylum,infraphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,supergenus,genus,subgenus,species name,subspecies name,Accepted as,picture
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Bacillariophycanae ,Achnanthales ,-,-,-,Cocconeidaceae,-,-,Cocconeis ,-,Cocconeis sp.1,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Bacillariophycanae ,Achnanthales ,-,-,-,Cocconeidaceae,-,-,Cocconeis ,-,Cocconeis sp.2,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Asterolamprales ,-,-,-,Asterolampraceae,-,-,Asterolampra ,-,Asterolampra marylandica ,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Asterolamprales ,-,-,-,Asterolampraceae,-,-,Asterolampra ,-,Asterolampra sp.1,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Asterolamprales,-,-,-,Asterolampraceae,-,-,Asteromphalus ,-, Asteromphalus cleveanus ,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Asterolamprales,-,-,-,Asterolampraceae,-,-,Asteromphalus ,-,Asteromphalus elegans ,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Asterolamprales,-,-,-,Asterolampraceae,-,-,Asteromphalus ,-, Asteromphalus flabellatus ,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Asterolamprales,-,-,-,Asterolampraceae,-,-,Asteromphalus ,-,Asteromphalus sp.1 ,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Asterolamprales,-,-,-,Asterolampraceae,-,-,Asteromphalus ,-,Asteromphalus sp.2,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Asterolamprales,-,-,-,Asterolampraceae,-,-,Asteromphalus ,-,Asteromphalus sp.3,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Aulacoseirales ,-,-,-,Aulacoseiraceae,-,-,Aulacoseira,-,Aulacoseira sp.,-,-,-
